Title,Company,Goal,Tasks,Technology,Minimum Team,Date Added,Duration,Details Link,Contact Phone,Contact Email,Contact Name
"Inventory Management System","TechCorp", "To manage inventory efficiently", "1. Develop UI 2. Create Database 3. Implement features 4. Testing", "Java, MySQL", "3", "2023-09-24", "8 weeks", "http://techcorp.com/projects/inv_mgmt", "555-1234", "project@techcorp.com", "John Doe"
"Website Redesign","WebInnovate", "Modernize current website", "1. Design mockup 2. Implement design 3. User testing", "HTML, CSS, JavaScript", "2", "2023-09-24", "6 weeks", "http://webinnovate.com/projects/web_redesign", "555-2345", "webdesign@webinnovate.com", "Jane Smith"
"Employee Tracking App","BizSolutions", "To track employee productivity", "1. Develop UI 2. Implement features 3. Testing", "React Native", "3", "2023-09-24", "10 weeks", "http://bizsolutions.com/projects/emp_track", "555-3456", "employeeapp@bizsolutions.com", "Samuel Green"
"Customer Feedback Analysis","DataInsights", "Analyze customer feedback to improve services", "1. Data collection 2. Data Analysis 3. Report Generation", "Python, pandas", "2", "2023-09-24", "5 weeks", "http://datainsights.com/projects/cust_feedback", "555-4567", "feedback@datainsights.com", "Laura Brown"
"Library Management System","EduTech", "To manage library resources effectively", "1. Develop UI 2. Create Database 3. Implement features", "PHP, MySQL", "3", "2023-09-24", "7 weeks", "http://edutech.com/projects/lib_mgmt", "555-5678", "library@edutech.com", "Michael Black"
"Social Media Dashboard","SocialNet", "Create a dashboard to track social media metrics", "1. Design UI 2. Implement features 3. User testing", "React, Node.js", "2", "2023-09-24", "6 weeks", "http://socialnet.com/projects/soc_dash", "555-6789", "dashboard@socialnet.com", "Sara White"
"E-commerce Platform","RetailHub", "Develop a platform for e-commerce", "1. Design UI 2. Implement features 3. Testing", "Angular, MongoDB", "4", "2023-09-24", "12 weeks", "http://retailhub.com/projects/ecom_platform", "555-7890", "ecommerce@retailhub.com", "Daniel Gray"
"Fitness Tracker App","HealthFirst", "To help users track their fitness goals", "1. Develop UI 2. Implement features 3. Testing", "Swift, Core Data", "3", "2023-09-24", "9 weeks", "http://healthfirst.com/projects/fit_track", "555-8901", "fitness@healthfirst.com", "Nicole Purple"
"Document Management System","OfficeSuite", "To manage documents effectively", "1. Develop UI 2. Implement features 3. User testing", "C#, SQL Server", "3", "2023-09-24", "8 weeks", "http://officesuite.com/projects/doc_mgmt", "555-9012", "documents@officesuite.com", "Robert Blue"
"Online Learning Platform","LearnOnline", "To facilitate online learning", "1. Design UI 2. Create Courses 3. User Testing", "Django, PostgreSQL", "4", "2023-09-24", "10 weeks", "http://learnonline.com/projects/elearn_platform", "555-0123", "learning@learnonline.com", "Patricia Yellow"
